participant_id	age	sex	handedness
A00053577	23.0	FEMALE	RIGHT
A00053578	21.0	FEMALE	RIGHT
A00053625	72.0	FEMALE	RIGHT
A00053626	78.0	FEMALE	RIGHT
A00053627	53.0	FEMALE	RIGHT
A00053744	17.0	MALE	RIGHT
A00053850	25.0	FEMALE	LEFT
A00053851	29.0	FEMALE	RIGHT
A00053854	33.0	FEMALE	RIGHT
A00053873	6.0	MALE	LEFT
A00053874	47.0	FEMALE	RIGHT
A00053901	43.0	FEMALE	RIGHT
A00053902	37.0	FEMALE	RIGHT
A00053927	48.0	MALE	RIGHT
A00053949	64.0	MALE	AMBIDEXTEROUS
A00054019	32.0	FEMALE	AMBIDEXTEROUS
A00054038	68.0	FEMALE	RIGHT
A00054153	61.0	MALE	LEFT
A00054173	20.0	FEMALE	LEFT
A00054206	14.0	MALE	RIGHT
A00054358	56.0	FEMALE	RIGHT
A00054441	32.0	FEMALE	RIGHT
A00054482	71.0	FEMALE	RIGHT
A00054504	25.0	FEMALE	RIGHT
A00054532	22.0	FEMALE	RIGHT
A00054533	21.0	FEMALE	RIGHT
A00054534	21.0	FEMALE	AMBIDEXTEROUS
A00054578	9.0	MALE	AMBIDEXTEROUS
A00054581	10.0	MALE	RIGHT
A00054621	70.0	FEMALE	RIGHT
A00054857	39.0	FEMALE	RIGHT
A00054895	59.0	FEMALE	RIGHT
A00054897	49.0	MALE	RIGHT
A00054913	83.0	FEMALE	RIGHT
A00054914	39.0	FEMALE	RIGHT
A00054929	73.0	FEMALE	RIGHT
A00055061	53.0	FEMALE	RIGHT
A00055076	10.0	FEMALE	RIGHT
A00055116	15.0	FEMALE	RIGHT
A00055121	28.0	MALE	RIGHT
A00055122	15.0	MALE	RIGHT
A00055215	22.0	FEMALE	RIGHT
A00055262	9.0	MALE	RIGHT
A00055267	13.0	MALE	RIGHT
A00055332	15.0	MALE	RIGHT
A00055352	59.0	FEMALE	RIGHT
A00055353	68.0	FEMALE	RIGHT
A00055373	28.0	MALE	RIGHT
A00055446	29.0	FEMALE	RIGHT
A00055447	36.0	MALE	AMBIDEXTEROUS
A00055462	15.0	MALE	RIGHT
A00055541	9.0	MALE	RIGHT
A00055542	29.0	FEMALE	RIGHT
A00055612	8.0	FEMALE	LEFT
A00055624	10.0	FEMALE	RIGHT
A00055692	56.0	FEMALE	LEFT
A00055727	8.0	FEMALE	RIGHT
A00055728	9.0	FEMALE	RIGHT
A00055738	25.0	FEMALE	RIGHT
A00055763	36.0	MALE	RIGHT
A00055765	9.0	MALE	RIGHT
A00055832	6.0	FEMALE	RIGHT
A00055866	9.0	FEMALE	RIGHT
A00055867	15.0	MALE	RIGHT
A00055903	8.0	FEMALE	RIGHT
A00055906	15.0	MALE	RIGHT
A00055907	7.0	FEMALE	RIGHT
A00055908	10.0	MALE	RIGHT
A00055920	9.0	FEMALE	RIGHT
A00055921	7.0	FEMALE	RIGHT
A00055946	7.0	FEMALE	RIGHT
A00055962	36.0	FEMALE	RIGHT
A00055991	15.0	FEMALE	RIGHT
A00056022	9.0	MALE	RIGHT
A00056097	26.0	MALE	RIGHT
A00056098	34.0	FEMALE	RIGHT
A00056138	15.0	MALE	RIGHT
A00056164	62.0	MALE	RIGHT
A00056198	9.0	FEMALE	AMBIDEXTEROUS
A00056295	12.0	MALE	RIGHT
A00056372	68.0	FEMALE	RIGHT
A00056419	6.0	FEMALE	RIGHT
A00056420	9.0	MALE	RIGHT
A00056452	40.0	FEMALE	AMBIDEXTEROUS
A00056453	17.0	MALE	AMBIDEXTEROUS
A00056470	12.0	FEMALE	RIGHT
A00056489	36.0	MALE	RIGHT
A00056556	38.0	MALE	RIGHT
A00056605	14.0	FEMALE	LEFT
A00056627	22.0	FEMALE	RIGHT
A00056628	13.0	MALE	RIGHT
A00056679	9.0	FEMALE	RIGHT
A00056703	16.0	MALE	RIGHT
A00056830	8.0	FEMALE	RIGHT
A00056898	22.0	FEMALE	RIGHT
A00056919	25.0	MALE	RIGHT
A00056920	10.0	MALE	RIGHT
A00056949	33.0	FEMALE	RIGHT
A00057005	21.0	MALE	RIGHT
A00057035	23.0	MALE	RIGHT
A00057182	21.0	FEMALE	RIGHT
A00057183	28.0	FEMALE	AMBIDEXTEROUS
A00057203	21.0	FEMALE	RIGHT
